model,method,causal_structure,evitability,action,permissibility_rating,intention_rating,scenario_id
gpt-4-0613,0shot,1,1,1,5,2,0
gpt-4-0613,0shot,1,1,1,4,5,1
gpt-4-0613,0shot,1,1,1,4,2,2
gpt-4-0613,0shot,1,1,1,5,4,3
gpt-4-0613,0shot,1,1,1,4,2,4
gpt-4-0613,0shot,1,1,1,4,2,5
gpt-4-0613,0shot,1,1,1,5,2,6
gpt-4-0613,0shot,1,1,1,4,2,7
gpt-4-0613,0shot,1,1,1,4,2,8
gpt-4-0613,0shot,1,1,1,4,2,9
gpt-4-0613,0shot,1,1,1,4,2,10
gpt-4-0613,0shot,1,1,1,3,4,11
gpt-4-0613,0shot,1,1,1,5,4,12
gpt-4-0613,0shot,1,1,1,5,4,13
gpt-4-0613,0shot,1,1,1,5,4,14
gpt-4-0613,0shot,1,1,1,4,2,15
gpt-4-0613,0shot,1,1,1,4,2,16
gpt-4-0613,0shot,1,1,1,4,2,17
gpt-4-0613,0shot,1,1,1,4,2,18
gpt-4-0613,0shot,1,1,1,5,4,19
gpt-4-0613,0shot,1,1,1,4,2,20
gpt-4-0613,0shot,1,1,1,4,2,21
gpt-4-0613,0shot,1,1,1,4,2,22
gpt-4-0613,0shot,1,1,1,4,2,23
gpt-4-0613,0shot,1,1,1,3,2,24
gpt-4-0613,0shot,1,1,1,3,2,25
gpt-4-0613,0shot,1,1,1,4,2,26
gpt-4-0613,0shot,1,1,1,5,2,27
gpt-4-0613,0shot,1,1,1,5,4,28
gpt-4-0613,0shot,1,1,1,4,2,29
gpt-4-0613,0shot,1,1,1,4,2,30
gpt-4-0613,0shot,1,1,1,5,2,31
gpt-4-0613,0shot,1,1,1,5,4,32
gpt-4-0613,0shot,1,1,1,5,2,33
gpt-4-0613,0shot,1,1,1,2,2,34
gpt-4-0613,0shot,1,1,1,4,2,35
gpt-4-0613,0shot,1,1,1,5,2,36
gpt-4-0613,0shot,1,1,1,2,2,37
gpt-4-0613,0shot,1,1,1,1,2,38
gpt-4-0613,0shot,1,1,1,5,2,39
gpt-4-0613,0shot,1,1,1,4,4,40
gpt-4-0613,0shot,1,1,1,4,2,41
gpt-4-0613,0shot,1,1,1,4,2,42
gpt-4-0613,0shot,1,1,1,3,2,43
gpt-4-0613,0shot,1,1,1,4,2,44
gpt-4-0613,0shot,1,1,1,3,2,45
gpt-4-0613,0shot,1,1,1,5,4,46
gpt-4-0613,0shot,1,1,1,3,2,47
gpt-4-0613,0shot,1,1,1,4,2,48
gpt-4-0613,0shot,1,1,1,4,2,49
gpt-4-0613,0shot,1,1,0,5,2,0
gpt-4-0613,0shot,1,1,0,4,4,1
